"route_id","agency_id","route_short_name","route_long_name","route_type","dir_1_from","dir_1_to","dir_2_from","dir_2_to"
"2985","1","30","Borská pole - Bory - Košutka ","3","Borská pole","Sídliště Košutka","Sídliště Košutka","Borská pole"
"2986","1","32","Bory - NC Černice","3","Bory","NC Černice","NC Černice","Bory"
"2987","1","33","Goethova - Nemocnice Lochotín - Košutka","3","Goethova","Sídliště Košutka","Sídliště Košutka","Goethova"
"2988","1","34","Pařížská - Orlík - Třemošná","3","Pařížská","Třemošná, ves","Třemošná, ves","Pařížská"
"2989","1","38","Lobzy - Červený Hrádek","3","Lobzy","Červený Hrádek","Červený Hrádek","Lobzy"
"2990","1","40","Goethova - Lochotín - Košutka","3","Goethova","Sídliště Košutka","Sídliště Košutka","Goethova"
"2991","1","41","Vinice - CAN - Křimice","3","Vinice","Křimice","Křimice","Vinice"
"2992","1","42","Bory - Špačková - Lhota","3","Bory","Lhota","Lhota","Bory"
"2993","1","56","Vinice - CAN - Město Touškov","3","Vinice","Město Touškov","Město Touškov","Vinice"
"3018","1","12","Nová Hospoda - Božkov - Letkov","11","Letkov, V Podlesí","Nová Hospoda","Nová Hospoda","Letkov, V Podlesí"
"3019","1","13","Na Dlouhých - NC Černice","11","Na Dlouhých","NC Černice","NC Černice","Na Dlouhých"
"3020","1","15","Lobzy - Borská pole - Nová Hospoda","11","Lobzy","Nová Hospoda","Nová Hospoda","Lobzy"
"3021","1","16","Doubravka - Sídliště Bory","11","Doubravka","Sídliště Bory","Sídliště Bory","Doubravka"
"3022","1","17","Doubravka - Nová Hospoda","11","Doubravka","Nová Hospoda","Nová Hospoda","Doubravka"
"3023","1","12","Nová Hospoda - Božkov - Letkov","11","Letkov, V Podlesí","Nová Hospoda","Nová Hospoda","Letkov, V Podlesí"
"3024","1","13","Na Dlouhých - NC Černice","11","Na Dlouhých","NC Černice","NC Černice","Na Dlouhých"
"3025","1","15","Lobzy - Borská pole - Nová Hospoda","11","Lobzy","Nová Hospoda","Nová Hospoda","Lobzy"
"3026","1","16","Doubravka - Sídliště Bory","11","Doubravka","Sídliště Bory","Sídliště Bory","Doubravka"
"3027","1","12","Nová Hospoda - Božkov - Letkov","11","Letkov, V Podlesí","Nová Hospoda","Nová Hospoda","Letkov, V Podlesí"
"3028","1","13","Na Dlouhých - NC Černice","11","Na Dlouhých","NC Černice","NC Černice","Na Dlouhých"
"3029","1","15","Lobzy - Borská pole - Nová Hospoda","11","Lobzy","Nová Hospoda","Nová Hospoda","Lobzy"
"3030","1","16","Doubravka - Sídliště Bory","11","Doubravka","Sídliště Bory","Sídliště Bory","Doubravka"
"3033","1","14","Pařížská - Sídliště Bory","11","Pařížská","Sídliště Bory","Sídliště Bory","Pařížská"
